job_category,n_growth_years,average_real_wage_growth,real_wage_2015,real_wage_2024,decade_real_wage_change
移運設備操作人員,9,1.2187516523398925,29814.89316691348,32233.48998268613,8.112042536032437
橡膠、塑膠及紙製品機械操作人員,9,1.1996767172923861,24418.235667442354,27086.63121444472,10.927880225843767
行銷、公關及技術銷售專業人員,9,1.19004210911775,36047.17579860377,39032.27801137769,8.281098717557622
化學工程師,9,1.1590283326584294,37364.0786968479,40994.92950779125,9.717490535233386
其他工程科學技術員,9,1.1561334569741646,28442.987095409353,30957.209992579767,8.839517764912275
其他生產機械設備操作人員,9,1.1207338059634524,23902.052041463932,26313.071976255254,10.087083446261524
測量師及製圖師,9,1.1048810567596543,37503.702136661734,38994.24931981202,3.9744001211368563
設計師,9,1.1003100335011726,34205.62724772583,37191.13282216176,8.728112344831862
護理助理專業人員,9,1.0782146658083855,29255.341654326217,31023.064556022757,6.0423936338994455
技藝有關工作人員、機械設備操作及組裝人員,9,1.0584536659262758,26259.78421832029,28821.11056146426,9.753798134247592
買賣經紀人,9,1.0063629021911022,29617.09329384388,27989.116992332423,-5.496745698031891
醫學影像及治療設備技術員,9,0.9946623748365181,38286.43960228475,41037.5958446698,7.185719724695616
其他基層技術工及勞力工,9,0.9828238203037502,24403.427120795433,26448.49121939154,8.38023318804022
未分類其他醫療保健助理專業人員,9,0.9755243423966745,28132.007615823994,29726.3789265397,5.667463668035144
社會工作助理專業人員,9,0.9743523797191836,31732.599957689872,32463.517190205293,2.3033638387335964
